STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2013,,61893,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2014,,68354,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2015,,69852,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2016,,65478,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2017,,64866,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2018,,65630,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2019,,68515,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2020,,66438,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2021,,66420,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2022,,75693,,,,,
